12:48:18.610 | 261  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
12:48:19.165 | 816  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 28876 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
12:48:19.166 | 817  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
12:48:23.817 | 5468 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.106 seconds (JVM running for 5.733)
12:48:23.820 | 5471 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
12:51:40.498 | 202149 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:08.736 | 230387 | [http-nio-8080-exec-2] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:09.199 | 230850 | [http-nio-8080-exec-3] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:09.640 | 231291 | [http-nio-8080-exec-4] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.057 | 231708 | [http-nio-8080-exec-5] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.248 | 231899 | [http-nio-8080-exec-6] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.432 | 232083 | [http-nio-8080-exec-7] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.640 | 232291 | [http-nio-8080-exec-8] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.818 | 232469 | [http-nio-8080-exec-9] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:10.998 | 232649 | [http-nio-8080-exec-10] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
12:52:11.180 | 232831 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
